source_token,source_occurrence_count,residual_class,admission_status,required_authority,notes
Lesencei-Uzsabánya,1,SPECIAL_OR_MIXED_GRAIN,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_GRAIN_OR_USAGE_LOCATION_AUTHORITY,"P49 already classifies this source form among special/mixed administrative grains; token splitting is not authorized."
Lovászi Luku-hegy,1,SPECIAL_OR_MIXED_GRAIN,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_GRAIN_OR_USAGE_LOCATION_AUTHORITY,"P49 already classifies this source form among special/mixed administrative grains; P51 does not infer a parent settlement identity."
Nádasladány,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Nagyszentjánosk,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Rábapaty-Felsőpaty,1,SPECIAL_OR_MIXED_GRAIN,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_GRAIN_OR_USAGE_LOCATION_AUTHORITY,"P49 already classifies this source form among special/mixed administrative grains; P51 does not infer whole-settlement coverage from the compound label."
Séska,2,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"The current M1 repeats this source-native form twice; duplicate occurrence does not create a second identity and no canonical identity is inferred."
Srród,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Szőce-Rimány,1,SPECIAL_OR_MIXED_GRAIN,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_GRAIN_OR_USAGE_LOCATION_AUTHORITY,"P49 already classifies this source form among special/mixed administrative grains; token splitting is not authorized."
Szt.Királyszabadja,1,SPECIAL_OR_MIXED_GRAIN,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_GRAIN_OR_USAGE_LOCATION_AUTHORITY,"P49 already classifies this source form among special/mixed administrative grains; abbreviation expansion is not identity authority."
Zalagyömrő,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Zichiújfalu,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Zsédely,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
